Name	SMILES	ClusterNumber
58267730	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCCN1CCN(S(C)(=O)=O)CC1	1
44243349	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCCN1CCN(CCO)CC1	1
44243350	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCCN1CCS(=O)(=O)CC1	1
44243351	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCCN1CCOCC1	1
58267726	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCN1CCCCC1	1
58267817	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCN1CCC(CO)CC1	1
58267819	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCN1CCN(C)CC1	1
58267883	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCN1CCN(CCO)CC1	1
58267979	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCN1CCN(S(C)(=O)=O)CC1	1
58267904	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCN1CCOCC1	1
58267767	COc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCCN1CCOCC1	1
58267907	COc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCCN1CCN(C)CC1	1
44243352	COc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCCN1CCC(CO)CC1	1
44243394	COc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCCN1CCN(CCO)CC1	1
44243395	COc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCCN1CCCCC1	1
58267963	COc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCCN1CCN(S(C)(=O)=O)CC1	1
58267957	COc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCN1CCOCC1	1
58267964	COc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCN1CCCCC1	1
58267838	COc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCN1CCN(S(C)(=O)=O)CC1	1
58267881	COc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCN1CCN(C)CC1	1
121479944	COc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCN1CCC(CCO)CC1	1
58267855	COc1cc2c(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCCN1CCC(CO)CC1	1
58267970	COCCOc1ccc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2c1	1
58267769	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCN1CCS(=O)(=O)CC1	1
58267925	CC(C)(C)c1cc(NC(=O)Nc2cccc(Oc3ncnc4ccc(-c5ccc(CNCCS(C)(=O)=O)o5)cc34)c2)no1	1
58267806	COc1cc(OC2CCOCC2)c2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2c1	1
136073752	COc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1O	1
58267880	COc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1O[C@H]1CCNC1	1
58267822	COc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1O[C@H]1CCN(C)C1	1
58267803	COc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1O[C@@H]1CCNC1	1
58267926	COc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1O[C@@H]1CCN(C)C1	1
58267750	COc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)ncnc2cc1OCC1CCNCC1	1
