COCCc1ccc(OCC(O)CNC(C)C)cc1 CHEMBL13
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12 CHEMBL723
CC(C)NCC(O)COc1cccc2ccccc12 CHEMBL27
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1 CHEMBL471
CC(C)NCC(O)COc1ccccc1CC=C CHEMBL266195
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12 CHEMBL649
CC(C)NCC(O)COc1ccc(NC(C)=O)cc1 CHEMBL6995
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1 CHEMBL24
COCCc1ccc(OCC(O)CNC(C)C)cc1 CHEMBL13
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12 CHEMBL723
CC(C)NCC(O)COc1cccc2ccccc12 CHEMBL27
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1 CHEMBL471
CC(C)NCC(O)COc1ccccc1CC=C CHEMBL266195
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12 CHEMBL649
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1 CHEMBL24
COCCc1ccc(OCC(O)CNC(C)C)cc1 CHEMBL13
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12 CHEMBL723
CC(C)NCC(O)COc1cccc2ccccc12 CHEMBL27
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1 CHEMBL471
CC(C)NCC(O)COc1ccccc1CC=C CHEMBL266195
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12 CHEMBL649
CN(C)CCOc1ccc(cc1)-c1nc(c([nH]1)-c1ccc2C(CCc2c1)N=O)-c1ccncc1 CHEMBL200622
Oc1cc(ccc1Cl)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1 CHEMBL373011
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1 CHEMBL939
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1 CHEMBL939
Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1 CHEMBL104264
Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1 CHEMBL104264
CN(CCOc1ccc(Cc2sc(=O)[nH]c2O)cc1)c1ccccn1 CHEMBL121
COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)Nc3cccnc3)c2c1 CHEMBL329480
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1 CHEMBL223360
CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1c(N)c2c(F)cccc2[nH]c1=O CHEMBL522892
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC CHEMBL553
CN1CCC([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)-c1ccccc1Cl CHEMBL45741
Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)nn1C(=O)c1c(F)cccc1F CHEMBL191003
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1 CHEMBL14762
CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 CHEMBL290084
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C CHEMBL535
CN1CCN(CC1)c1cc(Nc2cc(C)n[nH]2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1 CHEMBL572878
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1 CHEMBL24828
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1 CHEMBL223360
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1 CHEMBL215152
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1 CHEMBL296468
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC CHEMBL553
Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)nn1C(=O)c1c(F)cccc1F CHEMBL191003
OC(=O)c1ccc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2F)cc1 CHEMBL259084
CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 CHEMBL290084
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C CHEMBL535
CN1CCN(CC1)c1cc(Nc2cc(C)n[nH]2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1 CHEMBL572878
Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1 CHEMBL223360
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)n[nH]3)ncnc2c1 CHEMBL215152
CN1CCN(CC1)c1ccc2nc([nH]c2c1)-c1c(N)c2c(F)cccc2[nH]c1=O CHEMBL522892
Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl CHEMBL31965CHEMBL545315
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC CHEMBL553
Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)nn1C(=O)c1c(F)cccc1F CHEMBL191003
OC(=O)c1ccc(Nc2ncc3CN=C(c4cc(Cl)ccc4-c3n2)c2c(F)cccc2F)cc1 CHEMBL259084
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1 CHEMBL1336
